country	total players	males	rated males	average rating males	females	rated females	average rating females	female % of all players	female % of rated players	average rating difference
MEX	2914	2242	867	1903.5	672	197	1690.7	23.06	18.52	212.8
TPE	118	91	49	1629.9	27	12	1547.4	22.88	19.67	82.5
MAW	277	214	65	1777.4	63	12	1268.5	22.74	15.58	508.9
TOG	80	62	13	1678.3	18	2	1255.0	22.50	13.33	423.3
BOL	852	664	227	1804.7	188	47	1626.9	22.07	17.15	177.8
QAT	85	67	27	1920.6	18	13	1520.7	21.18	32.50	399.9
AZE	2091	1651	717	1782.6	440	198	1701.1	21.04	21.64	81.5
AHO	119	94	27	1898.2	25	4	1779.8	21.01	12.90	118.4
TKM	343	271	124	2045.0	72	56	1870.7	20.99	31.11	174.3
KEN	663	524	88	1701.8	139	14	1437.6	20.97	13.73	264.2
NCA	260	206	74	1882.1	54	10	1630.9	20.77	11.90	251.2
MDV	53	42	15	1727.2	11	2	1120.0	20.75	11.76	607.2
KUW	161	128	45	1638.5	33	8	1270.6	20.50	15.09	367.9
EST	801	639	222	1991.8	162	60	1778.5	20.22	21.28	213.3
PLE	210	169	64	1794.1	41	11	1340.0	19.52	14.67	454.1
GRE	13172	10649	3325	1658.3	2523	463	1469.4	19.15	12.22	188.9
IRI	10111	8196	2671	1665.4	1915	356	1547.1	18.94	11.76	118.3
ALG	1386	1126	254	1892.7	260	58	1591.6	18.76	18.59	301.1
ANG	422	343	94	1956.9	79	24	1593.2	18.72	20.34	363.7
VEN	3240	2640	753	1853.6	600	164	1721.2	18.52	17.88	132.4
RSA	2032	1661	410	1774.2	371	100	1553.9	18.26	19.61	220.3
COL	6274	5129	1451	1907.4	1145	273	1759.1	18.25	15.84	148.3
TTO	401	328	120	1720.0	73	20	1474.0	18.20	14.29	246.0
GUA	165	135	36	1993.5	30	13	1771.3	18.18	26.53	222.2
LTU	2468	2022	641	1830.1	446	142	1737.2	18.07	18.14	92.9
KAZ	1784	1462	650	1925.1	322	147	1805.2	18.05	18.44	119.9
MAC	67	55	30	1800.4	12	5	1545.2	17.91	14.29	255.2
BLR	1067	878	501	1884.3	189	119	1890.1	17.71	19.19	-5.8
SYR	474	391	157	2021.2	83	18	1705.3	17.51	10.29	315.9
CRC	644	533	226	1832.6	111	36	1648.2	17.24	13.74	184.4
CUB	2348	1947	1382	2071.4	401	262	1946.5	17.08	15.94	124.9
POL	16017	13293	6733	1754.5	2724	1107	1612.7	17.01	14.12	141.8
RUS	48354	40177	18383	1926.7	8177	3342	1755.1	16.91	15.38	171.6
BRA	9915	8246	3059	1877.7	1669	313	1675.1	16.83	9.28	202.6
PER	2204	1833	873	1788.0	371	167	1587.4	16.83	16.06	200.6
MDA	684	569	336	1834.9	115	74	1780.8	16.81	18.05	54.1
UZB	882	735	334	2014.2	147	70	1880.4	16.67	17.33	133.8
BUL	2914	2430	1161	1906.9	484	194	1750.8	16.61	14.32	156.1
ROU	5720	4780	2595	1787.4	940	406	1670.3	16.43	13.53	117.1
UGA	263	220	29	2115.2	43	8	1554.5	16.35	21.62	560.7
PHI	1015	854	287	1988.0	161	57	1859.2	15.86	16.57	128.8
SIN	1902	1603	266	1838.4	299	51	1721.8	15.72	16.09	116.6
ARM	1137	959	579	1945.6	178	106	1840.7	15.66	15.47	104.9
LAT	1209	1020	398	1915.9	189	93	1838.4	15.63	18.94	77.5
PUR	404	342	174	1784.0	62	19	1666.2	15.35	9.84	117.8
JAM	268	227	104	1862.5	41	19	1727.3	15.30	15.45	135.2
ZAM	469	398	94	2019.3	71	18	1540.1	15.14	16.07	479.2
ETH	215	183	19	1978.5	32	10	1427.5	14.88	34.48	551.0
THA	471	401	131	1841.6	70	20	1620.3	14.86	13.25	221.3
BRN	104	89	29	1797.7	15	2	1308.5	14.42	6.45	489.2
ARU	77	66	23	1806.9	11	7	1649.9	14.29	23.33	157.0
HON	225	193	55	1912.7	32	9	1659.3	14.22	14.06	253.4
TUR	18948	16306	3376	1616.5	2642	401	1482.0	13.94	10.62	134.5
JOR	519	447	256	1780.1	72	32	1536.7	13.87	11.11	243.4
LIE	22	19	13	2021.7	3	1	1988.0	13.64	7.14	33.7
DOM	977	844	309	1951.7	133	29	1738.4	13.61	8.58	213.3
SLO	3779	3270	981	1885.2	509	148	1707.3	13.47	13.11	177.9
IND	48962	42476	16748	1475.5	6486	1943	1389.3	13.25	10.40	86.2
BAR	351	306	97	1697.2	45	15	1490.9	12.82	13.39	206.3
POR	4814	4197	1396	1700.7	617	123	1550.7	12.82	8.10	150.0
NGR	445	389	102	2045.3	56	10	1768.6	12.58	8.93	276.7
FRA	41379	36230	14514	1728.1	5149	1306	1518.1	12.44	8.26	210.0
HKG	422	371	122	1728.0	51	7	1501.6	12.09	5.43	226.4
WLS	440	387	246	1902.6	53	31	1748.6	12.05	11.19	154.0
CHI	2633	2317	1146	1910.1	316	80	1673.4	12.00	6.53	236.7
NZL	556	490	231	1929.7	66	25	1704.3	11.87	9.77	225.4
JPN	231	204	133	1938.4	27	17	1686.6	11.69	11.33	251.8
IRQ	958	849	349	1884.0	109	37	1645.8	11.38	9.59	238.2
CRO	6118	5424	2291	1921.0	694	186	1741.9	11.34	7.51	179.1
TUN	406	360	145	1909.6	46	21	1461.0	11.33	12.65	448.6
MAR	704	625	84	1993.8	79	9	1740.2	11.22	9.68	253.6
UKR	7238	6435	2692	2040.1	803	392	1925.0	11.09	12.71	115.1
OMA	244	217	14	1848.7	27	2	1723.0	11.07	12.50	125.7
PAK	209	186	51	1929.7	23	6	1624.2	11.00	10.53	305.5
BAH	82	73	27	1640.4	9	1	1504.0	10.98	3.57	136.4
HUN	9151	8160	4873	1856.8	991	443	1735.8	10.83	8.33	121.0
PAR	446	398	243	1791.9	48	17	1601.8	10.76	6.54	190.1
MTN	158	142	28	1807.1	16	5	1374.0	10.13	15.15	433.1
GHA	73	66	19	1794.3	7	3	1488.3	9.59	13.64	306.0
CYP	383	347	76	1810.9	36	1	1752.0	9.40	1.30	58.9
CAN	1449	1313	662	2036.8	136	71	1836.7	9.39	9.69	200.1
MLT	139	126	67	1773.9	13	8	1619.4	9.35	10.67	154.5
AUS	2390	2167	1071	1835.7	223	105	1731.8	9.33	8.93	103.9
LIB	324	294	54	1905.4	30	11	1678.2	9.26	16.92	227.2
PAN	195	177	68	1922.3	18	5	1774.0	9.23	6.85	148.3
SRB	7220	6555	3590	2016.9	665	319	1855.4	9.21	8.16	161.5
SUD	166	151	24	1978.9	15	4	1395.0	9.04	14.29	583.9
BIH	1319	1201	601	2027.6	118	48	1826.3	8.95	7.40	201.3
EGY	3092	2823	996	1907.0	269	51	1682.9	8.70	4.87	224.1
AND	104	95	46	1857.2	9	3	1470.7	8.65	6.12	386.5
MYA	290	266	187	2037.0	24	12	1898.7	8.28	6.03	138.3
SVK	5909	5432	2614	1840.2	477	150	1730.9	8.07	5.43	109.3
MNE	710	656	304	2028.7	54	25	1809.8	7.61	7.60	218.9
BAN	1226	1133	485	1840.9	93	38	1671.9	7.59	7.27	169.0
ITA	14095	13034	6692	1794.8	1061	299	1649.4	7.53	4.28	145.4
MAD	216	200	118	1703.6	16	12	1529.4	7.41	9.23	174.2
ESP	35677	33043	16051	1782.3	2634	835	1589.9	7.38	4.94	192.4
ISL	1495	1386	447	1871.9	109	24	1776.2	7.29	5.10	95.7
GER	30655	28459	19175	1951.5	2196	1177	1788.8	7.16	5.78	162.7
SCO	575	534	283	1955.2	41	26	1739.9	7.13	8.41	215.3
URU	853	793	306	1855.9	60	21	1658.2	7.03	6.42	197.7
MKD	460	428	214	2039.0	32	21	1866.3	6.96	8.94	172.7
ISR	2513	2339	1178	2018.9	174	85	1868.1	6.92	6.73	150.8
ALB	204	190	99	1999.7	14	10	1779.2	6.86	9.17	220.5
LUX	488	456	191	1879.5	32	11	1887.7	6.56	5.45	-8.2
GUY	46	43	14	1683.1	3	1	1773.0	6.52	6.67	-89.9
ENG	4655	4355	2279	1931.3	300	141	1778.9	6.44	5.83	152.4
NEP	1181	1106	375	1735.4	75	13	1623.3	6.35	3.35	112.1
USA	12406	11624	3804	2033.5	782	243	1877.0	6.30	6.00	156.5
CZE	9685	9085	5578	1873.7	600	316	1742.8	6.20	5.36	130.9
ARG	3711	3495	2038	1939.5	216	109	1815.7	5.82	5.08	123.8
BEL	5143	4847	1988	1830.7	296	84	1631.8	5.76	4.05	198.9
NOR	3270	3097	1450	1831.7	173	85	1728.2	5.29	5.54	103.5
SWE	3917	3711	1857	1950.5	206	69	1834.3	5.26	3.58	116.2
AUT	5381	5100	2642	1950.4	281	132	1759.2	5.22	4.76	191.2
IRL	998	948	339	1922.2	50	26	1711.9	5.01	7.12	210.3
NED	5444	5175	2896	1996.9	269	167	1876.0	4.94	5.45	120.9
GUM	46	44	18	1708.9	2	1	1754.0	4.35	5.26	-45.1
BER	72	69	36	1783.8	3	2	1769.0	4.17	5.26	14.8
SUI	3396	3263	1927	1907.8	133	62	1776.2	3.92	3.12	131.6
FIN	1406	1351	770	1995.7	55	28	1749.0	3.91	3.51	246.7
BRU	53	51	15	1883.0	2	2	1957.5	3.77	11.76	-74.5
LBA	477	463	167	1856.5	14	6	1637.5	2.94	3.47	219.0
DEN	5873	5724	2626	1860.8	149	47	1776.5	2.54	1.76	84.3
FAI	216	212	117	1854.6	4	2	1671.5	1.85	1.68	183.1
totavgr male	1826.24954593672	totavgr female	1665.20260877844
