country	total players	males	rated males	average rating males	females	rated females	average rating females	female % of all players	female % of rated players	average rating difference
SWZ	22	12	2	1307.0	10	1	1236.0	45.45	33.33	71.0
SEY	25	14	5	1758.8	11	2	1569.0	44.00	28.57	189.8
VIE	1574	988	238	1947.9	586	170	1845.5	37.23	41.67	102.4
MOZ	39	25	12	2038.0	14	7	1538.0	35.90	36.84	500.0
MGL	544	353	182	1910.5	191	100	1786.6	35.11	35.46	123.9
LES	52	34	14	1557.9	18	1	1301.0	34.62	6.67	256.9
SRI	6537	4291	1371	1426.2	2246	492	1316.8	34.36	26.41	109.4
UAE	932	621	160	1770.1	311	58	1446.0	33.37	26.61	324.1
LAO	45	30	7	1347.3	15	1	1272.0	33.33	12.50	75.3
NAM	54	36	12	1922.9	18	6	1467.7	33.33	33.33	455.2
TJK	141	94	42	2049.4	47	19	1627.1	33.33	31.15	422.3
ISV	24	16	6	1800.2	8	2	1535.0	33.33	25.00	265.2
CHN	1329	918	416	2089.1	411	211	1981.3	30.93	33.65	107.8
YEM	118	82	25	1923.1	36	9	1533.9	30.51	26.47	389.2
KGZ	148	104	53	1926.0	44	24	1623.4	29.73	31.17	302.6
GEO	1726	1236	570	1824.8	490	248	1796.2	28.39	30.32	28.6
BOT	308	222	39	1901.5	86	15	1610.1	27.92	27.78	291.4
KOR	562	408	247	1569.1	154	81	1456.6	27.40	24.70	112.5
SUR	150	109	46	1720.9	41	16	1595.3	27.33	25.81	125.6
ECU	2161	1573	597	1786.6	588	192	1650.2	27.21	24.33	136.4
PLW	140	103	69	1450.2	37	25	1256.0	26.43	26.60	194.2
ZIM	276	205	50	1885.0	71	20	1418.8	25.72	28.57	466.2
FIJ	151	113	26	1748.4	38	7	1486.1	25.17	21.21	262.3
MNC	85	64	49	1930.5	21	8	1792.6	24.71	14.04	137.9
INA	738	558	189	2071.8	180	60	1965.1	24.39	24.10	106.7
MAS	1847	1409	420	1797.9	438	72	1648.3	23.71	14.63	149.6
ESA	237	181	81	1856.2	56	23	1822.6	23.63	22.12	33.6
