rank	name	country	gender	birthday	rating	age	title
100.	Gajewski, Grzegorz 	POL	M	1985	2654	30	GM
101.	Meier, Georg 	GER	M	1987	2654	28	GM
102.	Gharamian, Tigran 	FRA	M	1984	2654	31	GM
103.	Nielsen, Peter Heine 	DEN	M	1973	2654	42	GM
104.	Ivanisevic, Ivan 	SRB	M	1977	2653	38	GM
105.	Khairullin, Ildar 	RUS	M	1990	2652	25	GM
106.	Ganguly, Surya Shekhar 	IND	M	1983	2652	32	GM
107.	Khismatullin, Denis 	RUS	M	1984	2651	31	GM
108.	Vidit, Santosh Gujrathi 	IND	M	1994	2651	21	GM
109.	Grachev, Boris 	RUS	M	1986	2649	29	GM
110.	Fridman, Daniel 	GER	M	1976	2649	39	GM
111.	Motylev, Alexander 	RUS	M	1979	2649	36	GM
112.	Berkes, Ferenc 	HUN	M	1985	2648	30	GM
113.	Akopian, Vladimir 	ARM	M	1971	2648	44	GM
114.	Efimenko, Zahar 	UKR	M	1985	2647	30	GM
115.	Grandelius, Nils 	SWE	M	1993	2647	22	GM
116.	Riazantsev, Alexander 	RUS	M	1985	2646	30	GM
117.	Afromeev, Vladimir 	RUS	M	1954	2646	61	FM
118.	Dreev, Aleksey 	RUS	M	1969	2644	46	GM
119.	Salov, Valery 	RUS	M	1964	2644	51	GM
120.	Quesada Perez, Yuniesky 	CUB	M	1984	2643	31	GM
121.	Zhou, Weiqi 	CHN	M	1986	2643	29	GM
122.	Alekseev, Evgeny 	RUS	M	1985	2642	30	GM
123.	Sokolov, Ivan 	NED	M	1968	2642	47	GM
124.	Kuzubov, Yuriy 	UKR	M	1990	2641	25	GM
125.	Iturrizaga Bonelli, Eduardo 	VEN	M	1989	2641	26	GM
126.	Sethuraman, S.P. 	IND	M	1993	2640	22	GM
127.	Lenic, Luka 	SLO	M	1988	2639	27	GM
128.	Volokitin, Andrei 	UKR	M	1986	2639	29	GM
129.	Sasikiran, Krishnan 	IND	M	1981	2639	34	GM
130.	Shankland, Samuel L 	USA	M	1991	2638	24	GM
131.	Zherebukh, Yaroslav 	USA	M	1993	2637	22	GM
132.	Rakhmanov, Aleksandr 	RUS	M	1989	2637	26	GM
133.	Azmaiparashvili, Zurab 	GEO	M	1960	2637	55	GM
134.	Amin, Bassem 	EGY	M	1988	2636	27	GM
135.	Edouard, Romain 	FRA	M	1990	2636	25	GM
136.	Sutovsky, Emil 	ISR	M	1977	2635	38	GM
137.	Fedorchuk, Sergey A. 	UKR	M	1981	2635	34	GM
138.	Anton Guijarro, David 	ESP	M	1995	2634	20	GM
139.	Akobian, Varuzhan 	USA	M	1983	2634	32	GM
140.	Nguyen, Ngoc Truong Son 	VIE	M	1990	2634	25	GM
141.	Guseinov, Gadir 	AZE	M	1986	2634	29	GM
142.	Leitao, Rafael 	BRA	M	1979	2632	36	GM
143.	Van Wely, Loek 	NED	M	1972	2632	43	GM
144.	Papaioannou, Ioannis 	GRE	M	1976	2632	39	GM
145.	Kobalia, Mikhail 	RUS	M	1978	2632	37	GM
146.	Solak, Dragan 	TUR	M	1980	2631	35	GM
147.	Predojevic, Borki 	BIH	M	1987	2631	28	GM
148.	Zubov, Alexander 	UKR	M	1983	2630	32	GM
149.	Gustafsson, Jan 	GER	M	1979	2630	36	GM
150.	Kempinski, Robert 	POL	M	1977	2630	38	GM
151.	Hovhannisyan, Robert 	ARM	M	1991	2630	24	GM
152.	Sadvakasov, Darmen 	KAZ	M	1979	2629	36	GM
153.	Gupta, Abhijeet 	IND	M	1989	2629	26	GM
154.	Oleksiyenko, Mykhaylo 	UKR	M	1986	2628	29	GM
155.	Naroditsky, Daniel 	USA	M	1995	2628	20	GM
156.	Nyzhnyk, Illya 	UKR	M	1996	2628	19	GM
